"FID","IID","Sample_S0","Sample_S1","Sample_S3","Sample_S2","Sample_S4","MAF_M0","MAF_M1","MAF_M2","MAF_M4","Geno_G0","Geno_G2","Geno_G4","LD_L0","LD_L1","LD_L2","LD_L4","Agreement","N_scenarios"
"@52067200649406102410408632092272",231,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"@52067200649406102410408632092281",227,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"@52067200649406102410408632092282",167,2,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,0.866666666666667,16
"@52067200649406102410408632092292",253,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"@52067200649406102410408632092294",246,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"@52067200649406102410408632092297",239,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"@52067200649406102410408632092300",397,2,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,0.866666666666667,16
"@52067200649406102410408632092303",373,1,1,1,3,NA,1,1,1,5,1,5,1,1,1,1,2,0.714285714285714,15
"@52067200649407102410408632092327",338,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"@52067200649407102410408632092330",249,4,4,4,NA,NA,4,4,4,1,4,1,4,4,4,4,4,0.846153846153846,14
"@52067200649407102410408632092336",388,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"@52067200649407102410408632092338",365,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"@52067200649407102410408632092341",307,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"@52067200649407102410408632092354",21,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"@52067200649407102410408632092363",256,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"@52067200649407102410408632092365",339,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"@52067200649407102410408632092399",133,4,4,4,4,1,4,4,4,1,4,1,4,4,4,4,4,0.8,16
"@52067200649407102410408632092410",216,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
