"FID","IID","Sample_S0","Sample_S1","Sample_S3","Sample_S2","Sample_S4","MAF_M0","MAF_M1","MAF_M2","MAF_M4","Geno_G0","Geno_G2","Geno_G4","LD_L0","LD_L1","LD_L2","LD_L4","Agreement","N_scenarios"
"090226-C03",197,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"081215-B04",198,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"081215-B05",199,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090226-C04",200,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090226-C05",201,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090226-C06",202,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090226-C07",203,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090226-C08",205,4,4,4,1,3,4,4,4,1,4,1,4,4,4,4,4,0.733333333333333,16
"081215-B06",206,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090226-C09",207,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090226-C10",208,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090324-C11",209,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090324-C12",204,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090324-D01",211,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090324-D02",212,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090415-D12",213,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090324-D03",214,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090324-D04",215,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090324-D06",217,2,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,0.866666666666667,16
"090324-D07",218,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090324-D08",219,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090324-D09",220,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090325-C05",221,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,0.928571428571429,15
"090324-D11",223,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090324-D12",224,4,4,4,NA,NA,4,4,4,1,4,1,4,4,4,4,4,0.846153846153846,14
"090331-E04",228,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090331-E07",232,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090325-C06",233,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090105-C10",234,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090105-C09",235,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090105-C08",236,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,4,0.857142857142857,15
"090105-C02",237,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090325-C07",240,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090331-E08",241,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090331-E09",242,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090226-C11",243,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090325-C08",248,4,4,4,1,5,4,4,4,4,4,4,4,4,4,4,4,0.866666666666667,16
"090331-F01",250,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,1,14
"090331-E12",251,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090415-E07",254,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090415-E06",255,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090331-F06",258,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,1,0.923076923076923,14
"090331-F07",259,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,5,0.923076923076923,14
"090415-E08",262,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090331-F08",264,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090226-C12",266,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090226-D01",267,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090226-D02",268,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090226-D03",269,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"081215-B07",270,4,4,4,1,3,4,4,4,1,4,1,4,4,4,4,4,0.733333333333333,16
"090226-D04",271,4,4,4,1,3,4,4,4,1,4,1,4,4,4,4,4,0.733333333333333,16
"090415-E09",272,2,2,3,3,NA,3,2,2,2,2,2,3,2,2,2,3,0.285714285714286,15
"090226-D05",273,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090226-D06",274,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,0.933333333333333,16
"090226-D07",275,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,1,14
"090226-D08",276,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090226-D09",277,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090226-D10",278,3,3,3,4,NA,4,4,3,3,3,3,4,3,3,3,4,0.642857142857143,15
"090325-C09",279,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090325-C10",280,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090105-C03",282,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090105-C06",283,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090105-C04",285,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090105-D02",287,4,4,4,NA,NA,4,4,4,1,4,1,4,4,4,4,4,0.846153846153846,14
"090105-C07",288,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090325-C11",289,4,4,4,1,3,4,4,4,1,4,1,4,4,4,4,4,0.733333333333333,16
"090325-C12",290,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"081215-B08",291,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090325-D01",296,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090325-D02",297,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090415-E11",298,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090325-D03",299,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"081215-B09",300,4,4,4,1,5,4,4,4,4,4,4,4,4,4,4,4,0.866666666666667,16
"090325-D04",301,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090325-D05",302,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090325-D06",303,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090325-D07",304,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090415-E12",305,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090226-D12",306,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090302-E01",308,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090302-E02",309,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090302-E03",310,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090302-E04",311,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090325-D08",312,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090302-E05",313,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090302-F02",314,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090302-E07",315,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090302-E08",316,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090302-E09",317,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090302-E10",318,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090302-E12",320,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090302-F01",321,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090302-F03",323,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090302-F04",324,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090302-F05",325,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090302-F08",328,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090302-F09",329,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090302-F10",330,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090302-F12",332,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090302-G01",333,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090302-G02",334,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,1,14
"090331-G02",340,1,1,1,NA,NA,1,1,1,5,1,5,1,1,1,1,5,0.769230769230769,14
"090331-G05",343,4,4,4,1,3,4,4,4,1,4,1,4,4,4,4,4,0.733333333333333,16
"090331-G06",344,1,1,1,NA,NA,1,1,1,5,1,5,1,1,1,1,5,0.769230769230769,14
"090331-G07",345,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090331-G10",348,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090415-F01",350,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090331-H02",353,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090331-H04",355,4,4,4,NA,NA,4,4,4,1,4,1,4,4,4,4,4,0.846153846153846,14
"090331-H07",358,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090331-H08",359,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090209-D04",361,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090331-H10",363,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,1,14
"090302-G05",366,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090415-F03",367,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090331-H12",368,4,4,4,1,3,4,4,4,4,4,1,4,4,4,4,4,0.8,16
"090325-D09",369,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090302-G06",370,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"090302-G07",371,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090302-G08",372,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090302-G11",375,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090302-G12",376,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090415-F04",377,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090302-H03",380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090302-H04",381,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090302-H07",384,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090302-H08",385,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090302-H09",386,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090302-H10",387,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"090302-H12",389,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,0.933333333333333,16
"090325-D10",391,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090325-D11",392,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
